,hour,bubble
198,198,-0.003513167458764533
199,199,-0.0022317610940552845
200,200,-0.003745381165919432
201,201,0.0037044481512370137
202,202,0.0029024965132494816
203,203,0.0037738645862356555
204,204,-0.0025620005580355982
205,205,0.004232139289678144
206,206,0.003021264843965779
207,207,0.004159683718371693
208,208,0.003762011173184517
209,209,-0.002294650900900996
210,210,0.0037450621032294354
211,211,0.011822930987077289
212,212,-0.004906083543593963
213,213,0.004569144755051119
214,214,-0.0036792571907287522
215,215,-0.004961783439490514
216,216,-0.0008864746994688987
217,217,-0.002644530943713159
218,218,-0.0028279386712095427
219,219,-0.003092011331444798
220,220,-0.005468705749079745
221,221,-0.003733446905167544
222,222,-0.0027729503546098135
223,223,0.0009855918827509503
224,224,-0.008352322302158368
225,225,0.00361964235026976
226,226,-0.0013002299176837985
